Start Date,End Date,Start Time,End Time,SiteID,Pair ID,TTrtmnt,STrtmnt,Duration,Rem,RemNo,Latency,Time at Removal,Weather Conditions ,Dispersal Method,Notes
5/25/2022,5/25/2022,7:31,19:16,3A,17,DAY,CONTROL,,1,1,,8:05,FAIR,Tunneler,
5/25/2022,5/25/2022,7:33,19:18,3A,18,DAY,FRUIT,,1,6,,12:35,FAIR,Roller,SHREDDING
5/25/2022,5/25/2022,NA,NA,3B,19,DAY,CONTROL,NA,0,NA,NA,NA,FAIR,NA,
5/25/2022,5/25/2022,8:18,19:50,3B,20,DAY,FRUIT,,1,5,,15:16,FAIR,Roller + Tunneler,Butterfly - 10:30; 2 INDIVIDUALS
5/25/2022,5/25/2022,8:26,19:56,4A,21,DAY,CONTROL,,1,1,,16:26,FAIR,Roller,
5/25/2022,5/25/2022,8:23,19:58,4A,22,DAY,FRUIT,,0,NA,NA,NA,FAIR,NA,16:16 - RODENT; 17:30 - RODENT
5/25/2022,5/25/2022,9:03,20:28,4B,23,DAY,CONTROL,,1,1,,13:49,FAIR,Tunneler,
5/25/2022,5/25/2022,8:43,20:12,4B,24,DAY,FRUIT,,1,5,,11:37,FAIR,Tunneler,SHREDDING
5/25/2022,5/26/2022,19:27,6:43,3A,17,NIGHT,CONTROL,,1,1,,21:22,FAIR,Tunneler,
5/25/2022,5/26/2022,19:27,6:45,3A,18,NIGHT,FRUIT,,1,2,,21:19,FAIR,Tunneler,
5/25/2022,5/26/2022,NA,NA,3B,19,NIGHT,CONTROL,,0,NA,NA,NA,FAIR,NA,
5/25/2022,5/26/2022,20:07,7:16,3B,20,NIGHT,FRUIT,,0,NA,NA,NA,FAIR,NA,
5/25/2022,5/26/2022,20:03,7:45,4A,21,NIGHT,CONTROL,,1,1,,21:14,FAIR,Roller,
5/25/2022,5/26/2022,20:02,6:36,4A,22,NIGHT,FRUIT,,0,NA,,NA,FAIR,Tunneler,
5/25/2022,5/26/2022,20:42,7:47,4B,24,NIGHT,FRUIT,,1,1,,22:56,FAIR,Tunneler,7:17 - RODENT
5/25/2022,5/26/2022,20:27,7:58,4B,23,NIGHT,CONTROL,,0,NA,NA,NA,FAIR,NA,20:35 7:41 - RODENT
5/27/2022,5/27/2022,7:17,19:12,3A,25,DAY,CONTROL,,0,NA,NA,NA,FAIR,NA,
5/27/2022,5/27/2022,7:17,19:13,3A,26,DAY,FRUIT,,1,7,,11:00,FAIR,Shredding,
5/27/2022,5/27/2022,7:43,19:40,3B,27,DAY,CONTROL,,1,2,,16:58,FAIR,Shredding,
5/27/2022,5/27/2022,NA,NA,3B,28,DAY,FRUIT,,1,7,NA,NA,FAIR,Shredding,Camera on/ no pictures
5/27/2022,5/27/2022,NA,NA,4A,29,DAY,CONTROL,,1,10,NA,NA,FAIR,Shredding,Camera on/ no pictures
5/27/2022,5/27/2022,NA,NA,4A,30,DAY,FRUIT,,1,1,NA,NA,FAIR,Tunneler,
5/27/2022,5/27/2022,NA,NA,4B,0,DAY,CONTROL,,1,1,,13:11,FAIR,Tunneler,
5/27/2022,5/27/2022,8:13,20:09,4B,0,DAY,FRUIT,,0,NA,NA,NA,FAIR,NA,
5/27/2022,5/28/2022,NA,NA,3A,25,NIGHT,CONTROL,,0,NA,NA,NA,FAIR,NA,
5/27/2022,5/28/2022,19:18,7:25,3A,26,NIGHT,FRUIT,,0,NA,NA,NA,FAIR,NA,
5/27/2022,5/28/2022,19:50,7:46,3B,27,NIGHT,CONTROL,,0,NA,NA,NA,FAIR,NA,
5/27/2022,5/28/2022,19:51,7:07,3B,28,NIGHT,FRUIT,,0,NA,NA,NA,FAIR,NA,
5/27/2022,5/28/2022,19:44,7:48,4A,29,NIGHT,CONTROL,,0,NA,NA,NA,FAIR,NA,
5/27/2022,5/28/2022,19:45,7:48,4A,30,NIGHT,FRUIT,,0,NA,NA,NA,FAIR,NA,
6/12/2022,6/12/2022,9:44,19:15,AN-N,31,DAY,CONTROL,9.51,1,15,2.2,11:56,FAIR,Shredding,15:32 - butterfly; good shredding footage
6/13/2022,6/13/2022,8:48,19:03,AN-N,32,DAY,CONTROL,10.25,1,15,3.4,12:12,FAIR,Shredding; rolling,13:25-13:43 - MRE
6/14/2022,6/14/2022,8:17,18:18,AN-N,33,DAY,CONTROL,10.01,1,8,2,10:17,FAIR,Shredding,
6/11/2022,6/12/2022,20:54,9:31,AN-N,31,NIGHT,CONTROL,12.62,1,13,1.76,22:40,FAIR,Roller,MRE - 21:49-22:40
6/12/2022,6/13/2022,19:28,8:48,AN-N,32,NIGHT,CONTROL,13.2,0,NA,NA,NA,FAIR,NA,
6/15/2022,6/16/2022,18:34,8:05,AN-N,33,NIGHT,CONTROL,13.52,0,NA,NA,NA,FAIR,NA,
6/12/2022,6/12/2022,9:24,19:03,AN-N,34,DAY,FRUIT,9.65,1,15,3.98,10:38,FAIR,Shredding,
6/13/2022,6/13/2022,8:54,18:58,AN-N,35,DAY,FRUIT,10.07,1,15,2.53,11:26,FAIR,Shredding,
6/14/2022,6/14/2022,8:17,19:25,AN-N,36,DAY,FRUIT,11.13,1,13,2.58,10:52,FAIR,Shredding; Rolling,17:39 - roller
6/11/2022,6/12/2022,20:36,9:07,AN-N,34,NIGHT,FRUIT,12.52,0,NA,NA,NA,FAIR,NA,
6/12/2022,6/13/2022,19:12,8:36,AN-N,35,NIGHT,FRUIT,13.4,0,NA,NA,NA,FAIR,NA,
6/15/2022,6/16/2022,18:34,8:04,AN-N,36,NIGHT,FRUIT,13.5,0,NA,NA,NA,FAIR,NA,22:50-23:04 - spider; 7:54 - rodent 
6/12/2022,6/12/2022,9:03,18:43,AN-S,37,DAY,CONTROL,9.67,1,3,2.58,11:38,FAIR,Tunneler; shredding ,
6/13/2022,6/13/2022,8:27,18:43,AN-S,38,DAY,CONTROL,10.22,0,NA,NA,NA,FAIR,NA,18:08-18:40 - RODENTS
6/14/2022,6/14/2022,8:13,19:29,AN-S,39,DAY,CONTROL,11.27,1,7,3.13,11:12,FAIR,Tunneler; Shredder,
6/11/2022,6/12/2022,20:39,8:57,AN-S,37,NIGHT,CONTROL,12.3,0,NA,NA,NA,FAIR,3:31 - Millipede,
6/12/2022,6/13/2022,18:54,7:52,AN-S,38,NIGHT,CONTROL,12.97,0,NA,NA,NA,FAIR,,
6/15/2022,6/16/2022,18:20,7:52,AN-S,39,NIGHT,CONTROL,13.53,0,NA,NA,NA,FAIR,7:22 - rodent,
6/12/2022,6/12/2022,8:58,18:42,AN-S,40,DAY,FRUIT,9.73,1,3,2.4,11:22,FAIR,Shredder,
6/13/2022,6/13/2022,8:07,18:34,AN-S,41,DAY,FRUIT,10.45,1,2,5.38,13:30,FAIR,Shredder,
6/14/2022,6/14/2022,8:00,19:15,AN-S,42,DAY,FRUIT,11.25,1,13,8.2,16:12,FAIR,Shredder,
6/11/2022,6/13/2022,20:27,8:53,AN-S,40,NIGHT,FRUIT,12.43,0,NA,NA,NA,FAIR,Shredder,
6/12/2022,6/13/2022,18:49,7:48,AN-S,41,NIGHT,FRUIT,12.983,1,1,1.867,20:41,FAIR,Shredder,note that dung removal happened before sunset
6/15/2022,6/16/2022,18:38,8:01,AN-S,42,NIGHT,FRUIT,13.38,0,NA,NA,NA,FAIR,Shredder,
6/12/2022,6/12/2022,7:49,18:16,SC-N,43,DAY,CONTROL,10.45,0,NA,NA,NA,FAIR,,18:16 - rodent takes scat (only removal event)
6/13/2022,6/13/2022,10:02,19:47,SC-N,44,DAY,CONTROL,9.75,1,15,0.32,10:21,FAIR,Shredder,
6/14/2022,6/14/2022,7:17,18:51,SC-N,45,DAY,CONTROL,11.57,1,15,2.37,9:39,FAIR,Shredder,
6/11/2022,6/12/2022,19:22,7:31,SC-N,43,NIGHT,CONTROL,12.15,1,9,0.18,19:33,FAIR,Shredder,lots of night activity
6/12/2022,6/13/2022,20:09,9:44,SC-N,44,NIGHT,CONTROL,13.58,1,2,0.33,20:29,FAIR,Tunneler,
6/15/2022,6/16/2022,17:42,6:51,SC-N,45,NIGHT,CONTROL,13.15,0,NA,NA,NA,FAIR,NA,
6/12/2022,6/12/2022,7:50,20:04,SC-N,46,DAY,FRUIT,12.23,1,15,0.75,8:35,FAIR,Shredder,
6/13/2022,6/13/2022,10:02,19:54,SC-N,47,DAY,FRUIT,9.86,1,3,2.35,12:23,FAIR,Shredder,
6/14/2022,6/14/2022,7:24,18:56,SC-N,48,DAY,FRUIT,NA,0,NA,NA,NA,FAIR,NA,
6/11/2022,6/12/2022,19:57,7:42,SC-N,46,NIGHT,FRUIT,11.75,1,13,1.82,21:46,FAIR,Shredder,
6/12/2022,6/13/2022,20:09,9:56,SC-N,47,NIGHT,FRUIT,18:43,1,3,0.22,20:22,FAIR,Shredder,
6/15/2022,6/16/2022,17:42,6:51,SC-N,48,NIGHT,FRUIT,13.15,1,5,NA,NA,FAIR,NA,
6/12/2022,6/12/2022,8:21,19:36,SC-S,49,DAY,CONTROL,11.25,1,5,5.73,19:36,FAIR,Shredder,
6/13/2022,6/13/2022,9:26,17:03,SC-S,50,DAY,CONTROL,7.62,1,6,0.28,9:43,FAIR,NA,
6/14/2022,6/14/2022,7:44,19:05,SC-S,51,DAY,CONTROL,11.35,1,8,2.82,10:33,FAIR,Shredder,
6/11/2022,6/12/2022,19:25,7:18,SC-S,49,NIGHT,CONTROL,11.88,0,NA,NA,NA,FAIR,NA,
6/12/2022,6/13/2022,19:47,9:13,SC-S,50,NIGHT,CONTROL,13.43,0,NA,NA,NA,FAIR,NA,
6/15/2022,6/16/2022,18:08,7:13,SC-S,51,NIGHT,CONTROL,13.08,0,NA,NA,NA,FAIR,NA,
6/12/2022,6/12/2022,7:44,18:48,SC-S,52,DAY,FRUIT,11.07,0,NA,NA,NA,FAIR,NA,"Rodent predation: 17:32, 17:51, 18:08, 18:20; 5 removed"
6/13/2022,6/13/2022,8:44,18:34,SC-S,53,DAY,FRUIT,9.83,1,4,4.2,12:56,FAIR,"Roller, Tunneler",
6/14/2022,6/14/2022,6:57,18:20,SC-S,54,DAY,FRUIT,11.38,1,2,3.13,10:05,FAIR,Roller,
6/11/2022,6/12/2022,19:25,7:18,SC-S,52,NIGHT,FRUIT,11.88,0,NA,NA,NA,FAIR,NA,
6/12/2022,6/13/2022,19:03,8:27,SC-S,53,NIGHT,FRUIT,13.4,1,4,1.65,20:42,FAIR,Tunneler,
6/15/2022,6/16/2022,17:21,6:25,SC-S,54,NIGHT,FRUIT,13.07,0,NA,NA,NA,FAIR,NA,
